doc_id,text,label,category,word_count
doc_736,"Did this happen to Jesus? I don't think so, not from what I heard. He lived ONE DAY of suffering and died. If the wages of sin is the above paragraph, then JESUS DIDN'T PAY FOR OUR SINS, DID HE? I'd be surprised to see the moderator let this one through, but I seriously want a reasonable explanation for this.",15,soc.religion.christian,60
doc_14401,"You have missed something. There is a big difference between being in the SAME PLANE and in exactly the same state (positions and velocities equal). IN addition to this, there has always been redundancies proposed. Bob --",14,sci.space,37
doc_6494,"Does anyone have a reference (something I can look up, not just your own recollections -- I have a few of those myself) on the temperature of the (night) sky as seen from space? Note, I am *not* talking about the temperature of the Microwave Background Radiation. There are more things in the sky than just the MBR; what I'm after is total blackbody temperature -- what a thermal radiator would see, disregarding (or shielding against) the Sun and nearby large warm objects. My dim recollection is that the net effective temperature is substantially higher than that of the MBR, once you figure in things like stars and the zodiacal light, but I'd like numbers.",14,sci.space,115
doc_10765,"I'm not sure if this is a big issue, but it seems to me like it might be -- up till now, all >1g forces applied to the mirror and its mounting (and nearly all =1g forces) have been applied along the telescope's optical axis, and against the mirror's base. Reentry would apply forces along roughly the same axis, but tending to pull the mirror away from the mount, and the landing would apply on-edge forces to both the mirror and mount. It could be that one or both of these would not survive. greg --",14,sci.space,96
doc_47,"WHen trying to choose a resistor with a tolerance better than 1%, you need a trimmer or to screen devices, it can't be made from adding 2 resitors of 1% value in parallel, since the smaller device will have the error of 1% to cope with. You have 3 choices; a) live with the error of 1% tolerance devices for low Q circuits or low sensitivity designs b) buy resistors with better than 1% tolerance (Vishay/Dale) c) use trimmers or SOT's (Select-On-Test)",12,sci.electronics,82
doc_9888,"It appears that Walla Walla College will fill the same role in alt.atheist that Allegheny College fills in alt.fan.dan-quayle. Converts to xtianity have this tendency to excessively darken their pre-xtian past, frequently falsely. Anyone who embarks on an effort to ""destroy"" xtianity is suffering from deep megalomania, a defect which is not cured by religious conversion. Different perspective? DIFFERENT PERSPECTIVE?? BWAHAHAHAHAHAHAHAH!!! (sigh!) Perhaps Big J was just mistaken about some of his claims. Perhaps he was normally insightful, but had a few off days. Perhaps many (most?) of the statements attributed to Jesus were not made by him, but were put into his mouth by later authors. Other possibilities abound. Surely, someone seriously examining this question could come up with a decent list of possible alternatives, unless the task is not serious examination of the question (much less ""destroying"" xtianity) but rather religious salesmanship. How many Germans died for Nazism? How many Russians died in the name of the proletarian dictatorship? How many Americans died to make the world safe for ""democracy"". What a silly question! Is everyone who performs a healing = God? It's probably hard to ""draw"" an entire nation to you unless you are crazy. Anyone who is convinced by this laughable logic deserves to be a xtian.",0,alt.atheism,211
doc_10364,Could someone please help me. I am trying to find the address to the TDRS receiving station at White Sands Missile Range. I am interested in possible employment and would like to write for information.,14,sci.space,35
doc_700,"briefly, since i'm off to sleep. mle's work pretty well for AA nd AAA players. players who are 22 and younger will tend to have explosions in their numbers, whether mMLE's or not, in the next 2 years... players who are 26 and OLDER, at those levels, generally have inflated MLE's. they're about as reliable as having major league stats for a player.",9,rec.sport.baseball,63
doc_6332,[A lot of interesting stuff about gopher - deleted] I've heard of it but lost the intro posting that came out a while back - could you post it again? I think it's of general interest. Ben,1,comp.graphics,37
doc_6290,"Well, if we're going to discuss being a police officer in America today. The FBI lists 132 police officers killed (feloniously and accidentally) in 1990. That's apparently everybody at all levels. Year Officers killed Rate/100,000 police officers 1982 164* 47.6 1983 152** 40.2 1984 147 39.4 1985 148*** 37.9 1986 133 34.9 1987 148 39.0 1988 155**** 41.9 1989 145***** 38.1 1990 132 32.0 * Includes one officer in Mariana Islands ** Includes one officer each in Guam and Mariana Islands *** Includes one officer in Guam and two in foreign locations **** Includes one officer in American Samoas and two in foreign countries ***** Includes one officer in Guam and one Federal officer killed in Peru God, I love the information age! :-)",16,talk.politics.guns,124
doc_8830,"In NEIL B. GANDLER :> I am an electrical engineering student and its a must that I get familiar :> with spice. I have been using it and getting used to it but it would :> be great to have a good reference manual that explains everything in an :> organized and concise. I current have ""A guide to circuit simulation & :> Analysis using spice"". I feel it has the information is just randomly placed :> in the book and its not easy to look up small things when you just :> need a good reference book. I would appreciate any info. Thanks There is a postscript manual at ic.berkeley.edu in pub/spice3/um.3f.ps directory (about 650kbytes, 126 pages).",12,sci.electronics,118
doc_15224,"CASIO/B.O.S.S. SF-8000 Organizer (64K) with CasioLink Hardware/Software Nice personal organizer that is in excellent shape. It allows you to store phone numbers/addresses (do searches, etc), business cards info, schedules, and calender and also provides home/work time and calculator. Also has password protection and alarms. Nice 6 line LCD screen and mini QWERTY keyboard. Comes with CasioLink that lets you interface it with your computer (Mac/IBM) and transmit/receive data (all forms). I have the software for the macintosh that runs it. Nifty tool for people on the go. If you are interested, please email an offer. Thanks. I have necessary instruction manuals and all cables. Thanks.",6,misc.forsale,105
doc_3643,"I have some articles available on the Church and gay people, from a pro-gay viewpoint, which might interest some of the people participating in this thread. Please email me if you would like to have me send them to you (warning, about 70k worth of material. Make sure you have mailbox and/or disk space available.) There are no short answers to the questions we've been seeing here (""how do you explain these verses?"", ""How do you justify your actions?"") If you've been asking and you really want an idea of the other people's thinking, I encourage you to do some serious reading. --",15,soc.religion.christian,103
doc_6590,"I would like to find out about space engineering employment and educational opportunities in the Tucson, Arizona area. E-mail responses appreciated. My mail feed is intermittent, so please try one or all of these addresses.",14,sci.space,35
doc_8786,"Well, that explains some things; I posted on soc.religion.islam with an attached quote by Bobby to the effect that all atheists are lying evil scum, and asked if it was a commonly-held idea among muslims. I got no response. Asking about the unknown, I guess... Karl -----------------------------------------------------------------------------",0,alt.atheism,47
doc_99,"Well, there *is* a difference. I don't happen to have my SAE manual handy, but oil viscosity in general _decreases_ with temperature. The SAE numbers are based on a `typical' curve that oils used to all have, running from (say) the viscosity of a room-temperature 90-weight at 0C, down to (say) that of a room-temperature 5-weight at 20C, for a typical 40-weight oil. Oils that are designed for operation in `normal' temperatures just have a weight specification. Oils that are designed for operation in exceedingly cold temperatures have a `W' tacked on the end, so in winter in a cold place, you'd stick 10W in your car in the winter and 40 in it in the summer, to approximate the appropriate viscosity throughout the year. Modern multi-viscosity oils change viscosity much less with temperature. As a result, their viscosity graphs cross over several curves. A multi-vis specification pegs the curve at two temperatures, a `normal' operating temperature and a `cold' one (though I can't remember the numbers...). In any event, the weights do indicate a significant difference. Remember that your engine is temperature-regulated (by the thermostat and radiator or air fins) most of the time -- unless you overheat it or something. Any weight of oil is better than no oil, or than very old, carbonized oil. Thin oil won't (in general) lubricate as well at temperature, thicker oil will (like a 20W50) will lubricate better at temperature, but not as well during startup, when most engine wear occurs. If you're planning on making long drives, the 20W50 is probably fine (esp. in the summer) in your 10W40 car. But if you're making short drives, stick to the 10W40.",7,rec.autos,279
doc_6253,"Can someone tell me which of the files that come with DW-3.1 go where and for what purpose? What can be left out, for instance, if you don't want to do background printing?",4,comp.sys.mac.hardware,33
doc_9414,"...hm, I've found the DTK customer support BBS - anyone know if Magitronic run one too? (Hands up all those that have possibly useful cards made by either manufacturer and no docs or drivers! <g>) Please Email me directly if you happen to have a number.",3,comp.sys.ibm.pc.hardware,46
doc_12639,": Mr Connor's assertion that ""more complex"" == later in paleontology : is simply incorrect. Many lineages are known in which whole : structures are lost -- for example, snakes have lost their legs. : Cave fish have lost their eyes. Some species have almost completely : lost their males. Kiwis are descended from birds with functional : wings. Joel, The statements I made were illustrative of the inescapably anthrpomorphic quality of any desciption of an evolutionary process. There is no way evolution can be described or explained in terms other than teleological, that is my whole point. Even those who have reason to believe they understand evolution (biologists for instance) tend to personify nature and I can't help but wonder if it's because of the limits of the language or the nature of nature.",0,alt.atheism,135
doc_3210,"I had the same problem with my 512 a long time ago. Resoldering the joints on the motherboard (all of them) fixed it. Turns out that continuous heating and cooling caused annular (ring-shaped) cracks to develop in the solder, effectively cutting the video circuitry off. If you're not a solder-jockey you might want to have someone else do it -- I took mine to an electrical engineer buddy -- but it was a 20-minute job, tops. -Kelley- -- ----------------------------------------------------------------- Thomas Kelley Boylan, PowerPC, IBM Austin,",4,comp.sys.mac.hardware,85
doc_3079,"Our shop uses a package called CADCore - very good - to scan and subsequently vectorize original maps into digital maps. The problem is that once the raster file is loaded into the CADCore package, a header is added to the .HRF file which makes it unreadable by the supplied converter. We would like to be able to ship some of the already-altered raster images for further use on our workstations. So, here are my questions: (1) What is the Hitachi format? - I need this format so I can recognize precisely what to strip out. I strongly suspect that it's a compressed format - if so, then t might not be possible for me to strip out the offending header. (2) Are there any UNIX packages that read and recognize HRF? It would be really nice to find some sort of ""hrftopbm"" converter out there. ;)",1,comp.graphics,147
doc_13798,"I have a certificate for one round-trip airfares to either Acapulco or Cancun, Mexico. Expiration date is one year from now. The maximum retail value, depending on time and location, is estimated at $1100, including accommodation for 3 days and 2 nights at a leading hotel. I am asking for $1000 or best offer. For more information, call Goh at (415) 497-0663 or send mail to",6,misc.forsale,66
doc_1570,"Koff! You mean that as long as I put you to sleep first, I can kill you without being cruel? This changes everything.",0,alt.atheism,23
doc_3934,"[...etc...] I am becoming increasingly convinced that most of us take Paul's illustration about one body / many parts far too narrowly. It is easy to say that the one body represents a particular sect of Christianity (generally our own), and the parts are clearly the various offices of ministry. There is a place for that. But having met people who are walking closeely with God in a wide variety of doctine - Catholic, Protestant, liberal, conservative, Orthodox, etc. - I am willing to encompass a wide spectrum of views within the context of the 'body of Christ.' And I am equally sure that one day, after we shug off this mortal coil, when we no longer see through a glass darkly but see clearly, face to face, we will all be ashamed at some of the things we held as truth. We ought all fellowship, worship, and serve where we are called, and understand that where we are called may not be where everyone else is called. One of the fathers of the reformation (help me out - can't recall the name) put it quite succiently: In essentials, unity. In nonessentials, liberty. In all things, charity. While I agree with Lewis (Mere Christianity) that calling oneself a Christian implies some basic, fundamental standards of belief if the word is to mean anything at all, I think most of us define the bounds of essentials a bit too broadly, deny the place for liberty in questionable issues near those bounds, and ignore the requirements of charity all together. Me? I attend a Vineyard church, speak in tongues, am effectively an inerrantist, though I'll grant some inaccuracy in translation, am moderately pre-mill, and evangelical. But, I'm not ready to damn those who use icons, say mass in latin, uphold the Virgin Mary (though I really don't believe that she was sinless), vote on Church membership, or insist on baptism for salvation. Of course, I think my doctine is pretty close to the truth - why would I follow it if I believed something else was closer to the truth? But my understanding of the reality of a walk with Christ is continually evolving as I spend more and more time walking with Him, studying His word, and fellowshiping with others in the (often extended) family. ------------------------------------------------------------------------------ I read, much of the night, and go south in the winter. --T.S. Eliot, The Waste Land .............................................................................. s.w. marlatt, <>< & *(:-) Prov. 25.2 University of Colorado: 492-3939 National Center for Atmospheric Research: 497-1669",15,soc.religion.christian,420
doc_12745,"Hello , I think you are probaly right, in spite of the movement it is getting better each day. cheers",13,sci.med,20
doc_7438,"Sorry, I should have been more specific. The 750 SS ran the quater in 12.10 @ 108.17. The last small V-twin Duc we got in the US (and the 400 is a Pantah based V-twin) was the 500SL Pantah, and it ran a creditable 13.0 @ 103. Modern carbs and what not should put the 400 in the high 12s at 105. BTW, FZR 400s ran mid 12s, and the latest crop of Japanese 400s will out run that. It's hard to remember, but but a new GOOF2 will clobber an old KZ1000 handily, both in top end and roll-on. Technology stands still for no-one...",8,rec.motorcycles,105
doc_7286,"'>First off, with all these huge software packages and files that '>they produce, IDE may no longer be sufficient for me (510 Mb limit). Micropolis seems to have broken this limit. They have IDE 560meg and 1050meg HD's available. Greg Greene",3,comp.sys.ibm.pc.hardware,41
doc_7332,"Very narrow. Very, very narrow. If you'll recall, I was the nut that advocated the possibility of tactical nukes being militia weapons in certain situations. How can you possibly define what is a weapon and what isn't is only the start of this. And you've just described any civilian reactor because your definition fails to note what energy is being considered. Reactors blow with a steam explosion, but the majority of energy still comes from fission or fusion because that is what heated the coolant. See what a can of worms this is? Last I heard, Ft. Calhoun station just north of Omaha, Nebraska wasn't considered a weapon. Given the sodium-cooled breeder designs on the blocks now, I can easily envision reactors being household appliances in under twenty years. With the PRISM design, there is *no* operator input needed on the reactor itself, and it is not unreasonable to assume the secondary side can be made equally as automatic in the future. So your definition is flawed in a few respects already. Typhoid Mary would likely fit this bill if she sneezed. If you don't mind extrapolation, any HIV-positive person also fits this bill if they interact with others in a way that stands any chance of spreading the virus. Finally, that manure pile I mention below fits this definition, as does, say, releasing a pet rattlesnake to the wild. And I can show where any such gas has other uses. For example, perhaps we would like to rid the hay field of gophers. Calcium Carbide is a rock that dissolves in water to produce aceteylne gas. It can be used for welding, in miners lamps, for gassing gophers, or for making carbide bombs and doing some illicit fishing. Toss some in a toilet and leave a lighted cigarette on the seat and you'll see that it can also be a weapon, just like any other flammable substance. So, now my miners lamps won't work, I can't do any welding, and I still have those pesky gophers. The basis for, but I'm sure you see that the problem is not in writing a law, it is in writing a law that cannot be abused and extended beyond the point where it does any good. It is under your proposed law. So is a silage pit if there is run-off. So are underground fuel tanks. It meets all the criterion of a weapon. It is an instrument that can be used for fighting, even though that is not its intended purpose, and despite there being better weapons around. Given that the aquifers supply a significant part of the country with drinking water, mass destruction is rather a given. It's not that certain weapons aren't something I'd rather not see a lot of people having. The problem is that it is nearly impossible to write a law such that it cannot be abused upon some pretext or another. The looser your definition, the more ripe for abuse that law is. Furthermore, if you get specific then the old standby is to insert a clause allowing the list of banned things to be added to, generally without going through the hassles of another vote and public reading of the law. Again, ripe for abuse.",16,talk.politics.guns,541
doc_15204,"He is God. He is God. God granted you the gift of life whether you were sinner or saint. The scientist creates the living creature to examine it, poke and prod it and learn about its behaviour. He will kill it if it becomes a threat. For example, let's say the scientist creates a Tyrannosaurus Rex and it breaks free of its confines and starts devouring the population. The scientist would not hesitate in killing it. God creates us to be His loving companions. He knows whether we are true in our love for Him or not. And He lets us know the consequences of rejecting Him. God cannot abide by sin. By rejecting God, a person becomes an enemy of God, one that must be killed by Him. Note: I say that God and God alone is worthy to be Judge, Jury and Executioner. We are not called to carry out such duties because we are not worthy. God is God. Who are we to question the Creator? If you doubt God's doing in certain situations, do you claim to know a better solution? Would you be playing the role of God?",19,talk.religion.misc,193
doc_16735,Saku isn't that small any longer I guess I heard he is 177cm tall at the moment and will still grow 6-8cm.,10,rec.sport.hockey,22
doc_15975,Another tip is to make sure you keep well to one side of the lane. This gives you a quicker escape route.,8,rec.motorcycles,22
doc_1981,16. What is the condition of the propane tank mentioned by the BD survivors? I.e. is it crushed and does it have tread marks on it? -- Dave Feustel N9MYI,16,talk.politics.guns,30
doc_5623,"Interesting statements, simply because I have been told otherwise. I'm certainly not questioning Steve's claims, as for one I am not a doctor, and I agree that foods don't bring on the recurrence of Crohn's. But inflammation can be either mildly or DRASTICALLY enhanced due to food. Having had one major obstruction resulting in resection (is that a good enough caveat :-), I was told that a *LOW RESIDUE* diet is called for. Basically, the idea is that if there is inflammation of the gut (which may not be realized by the patient), any residue in the system can be caught in the folds of inflammation and constantly irritate, thus exacerbating the problem. Therefore, anything that doesn't digest completely by the point of common inflammation should be avoided. With what I've been told is typical Crohn's, of the terminal ileum, my diet should be low residue, consisting of: Completely out - never again - items: o corn (kernel husk doesn't digest ... most of us know this :-) o popcorn (same) o dried (dehydrated) fruit and fruit skins o nuts (Very tough when it comes to giving up some fudge :-) Discouraged greatly: o raw vegetables (too fibrous) o wheat and raw grain breads o exotic lettuce (iceberg is ok since it's apparently mostly water) o greens (turnip, mustard, kale, etc...) o little seeds, like sesame (try getting an Arby's without it!) o long grain and wild rice (husky) o beans (you'll generate enough gas alone without them!) o BASICALLY anything that requires heavy digestive processing I was told that the more processed the food the better! (rather ironic in this day and age). The whole point is PREVENTATIVE ... you want to give your system as little chance to inflame as possible. I was told that among the NUMEROUS things that were heavily discouraged (I only listed a few), to try the ones I wanted and see how I felt. If it's bad, don't do it again! Remember though that this was while I was in remission. For Veggies: cook the daylights out of them. I prefer steaming ... I think it's cooks more thoroughly - you're mileage may vary. As with anything else, CHECK WITH YOUR DOCTOR. Don't just take my word. But this is the info I've been given, and it may be a starting point for discussion. Good luck! -Spenser",13,sci.med,394
doc_4230,"And this search procedure must also follow the rule of law. It may, if necessary, when the search is executed in an illegal and violent fashion. These ""criminals"" were threatening the lives of NO ONE -- they were fired on FIRST, according to a number of accounts. Wrong. Firing a gun at someone is lethal force, even if no one is hit. Of course, they DID hit AND kill people. You are silly. There are no such warrants in existence, Phill. Thanks, Phill, for another example of that great socialist sensitivity. ""Obey the government or die."" *PLONK* --",18,talk.politics.misc,98
doc_3369,"Hello, I know that this has been discussed before. But at the time I didn't need to teselate a sphere. So if any kind soul has the code or the alg, that was finally decided upon as the best (as I recall it was a nice, iterative subdivision meathod), I would be very appreciative. Thomas DeWeese",1,comp.graphics,56
doc_12833,"Here are some recent observations taken by the Hubble Space Telescope: o The Faint Object Spectrograph (FOS) was used to make ultraviolet observations of both the planet Pluto, and its moon Charon. The peakups were successful. The observations were executed as scheduled, and no problems were reported. o Observations were made using the High Speed Photometer of the Planet Uranus during an occultation by a faint star in Capricornus. These observations will help in our understanding of the planet's atmospheric radiative and dynamical processes. This event occurred close to the last quarter moon, and special arrangements had to be made to modify the lunar limit tests to allow these observations. The observations are currently being reviewed, and all the observations looked okay.",14,sci.space,122
doc_14718,"..continuing on my build problems, I got stuck here build xterm... gcc -fpcc-struct-return -o xterm main.o input.o charproc.o cursor.o util.o tabs.o screen.o scrollbar.o button.o Tekproc.o misc.o VTPrsTbl.o TekPrsTbl.o data.o menu.o -O2 -R/usr/wgep/X11R5.sos5/lib${LD_RUN_PATH+\:$LD_RUN_PATH} -L../.././lib/Xaw -lXaw -L../.././lib/Xmu -lXmu -L../.././lib/Xt -lXt -L../.././extensions/lib -lXext -L../.././lib/X -lX11 -L/usr/wgep/X11R5.sos5/lib -lsocket -lnsl -ltermcap Undefined first referenced symbol in file index /usr/ucblib/libtermcap.a(termcap.o) rindex /usr/ucblib/libtermcap.a(termcap.o) ld: fatal: Symbol referencing errors. No output written to xterm *** Error code 1 make: Fatal error: Command failed for target `xterm' Any clues for help?",5,comp.windows.x,82
doc_15484,"No we don't. They might be zealous, and maybe the bureau shouldn't exist by some people, but they ARE NOT NAZIS. Why do people toss around the Nazi label so easily?",18,talk.politics.misc,31
doc_5277,"One more good reason for straight pipes or megaphones;-) Regards, Charles DoD0.001 RZ350 Ps: Does anyone know if Opti oils sells direct by the case load? My loacl dealership is charging 12.99 for a jug of injector oil, and it's breaking me;-)",8,rec.motorcycles,42
doc_5512,Does anyone know how to access and/or display multiple pages in mode 13h while still maintaining the 1 byte per pixel memory organization? Examples in C or Assembly would be appreciated... Thanks Scott,1,comp.graphics,33
doc_3396,"I've found a problem in the use of Xlib functions regarding re-entrancy. I decided to implement an animated cursor (using 6 created cursors) by calling XDefineCursor from a SIG_ALRM signal handler. This is used to indicate we are waiting for a operator request to complete. (on a production control system). I was redrawing the screen underneath the animated cursor and then restoring the standard cursor when complete. I found dumped core , and upon analysis it was when the SIG_ALRM handler was called during a XDrawString call. XDrawString was doing a bcopy (presumably an internal structure) when the XDefineCursor was called. Presumably the (internal) structure that XDrawString was manipulating was not in a stable state and sent XDefineCursor to where it shouldn't have been. Has anyone else experienced this? Is there any official documentation that says you should ensure this doesn't happen? Or should bcopy() be atomic. We are running on SGI Irix 4.0.1 with X11R4. -- Regards, Martin",5,comp.windows.x,159
doc_10889,"bleagh! this was a terrific trade. snow will certainly be better than mattingly in the future, but that they'll be about the same now is a defensible opinion. abbott is one of the few truly great pitchers in the game today. i'm not sure about this one. i think that it's good, in that a pre-1992 boggs kicks hayes/meulens/whoevers' ass, and that a 1992 boggs still isn't ALL that shabby. it's bad, though, that the yankees expect a pre-1992 boggs, and will probably get a 1992 boggs. however, i'd still play boggs over hayes or bam bam. you have my full agreement here. he's not all that much better than velarde, and silvestri is just about a lock to be better than him. however, i do enjoy the fact that ""spike"" is not a nickname. not that this helps the yankees. i strongly disagree. i'd much much rather have a hundred games of tartabull and sixty games of dion james than 162 games of james.",9,rec.sport.baseball,165
doc_6951,"features include: Detachable Face, 30x4 watt amplifier, Infra-red Remote, 8 times oversampling 1 bit DAC, supertuner IV (18fm and 6am presets), best station memory CD Changer Controller, loud switch, clock all original packaging, asking $450.00 (or best offer) This CD reciever is a very nice radio, great condition, the remote comes in very handy (you wouldn't think it would), TOP of the line CD Reciever Interested! send email to Brion Sohn at any resonable offers will be considered",6,misc.forsale,78
